year,region,wine,beer,vodka,champagne,brandy
1998,Novosibirsk Oblast,2.0,22.0,16.4,0.9,0.1
1998,Omsk Oblast,6.2,42.1,12.8,1.0,0.6
1998,Orenburg Oblast,1.7,19.0,9.1,1.2,0.2
1998,Oryol Oblast,3.1,14.7,11.8,0.8,0.4
1998,Penza Oblast,1.9,18.5,5.8,0.2,0.1
1998,Perm Krai,3.2,19.0,16.7,0.9,0.2
1998,Primorsky Krai,0.6,14.9,6.3,0.8,0.1
1998,Pskov Oblast,1.8,7.2,8.7,0.3,0.04
1998,Altai Republic,3.4,7.6,9.0,0.5,0.1
1998,Komi Republic,5.7,30.3,21.1,1.9,0.6
1998,Tuva Republic,1.9,7.4,11.1,0.3,0.1
1998,Rostov Oblast,5.3,20.1,9.7,1.3,0.1
1998,Ryazan Oblast,1.6,28.4,14.8,1.5,0.1
1998,Samara Oblast,2.8,23.1,11.2,1.8,0.2
1998,Saint Petersburg,2.7,27.9,12.3,1.2,0.5
1998,Saratov Oblast,2.1,24.6,11.7,1.5,0.3
1998,Sakhalin Oblast,2.1,13.9,16.3,0.7,0.1
1998,Sverdlovsk Oblast,4.4,31.1,12.8,1.4,0.4
1998,Sevastopol,,,,,
1998,Republic of North Ossetia-Alania,1.4,23.3,10.6,1.4,0.1
1998,Smolensk Oblast,3.4,35.6,14.0,0.6,0.2
1998,Stavropol Krai,8.8,17.2,11.8,1.6,0.4
1998,Tambov Oblast,1.7,12.6,12.3,1.2,0.3
1998,Republic of Tatarstan,1.4,28.2,18.0,0.4,0.1
1998,Tver Oblast,2.6,14.1,8.9,0.5,0.3
1998,Tomsk Oblast,4.8,18.7,16.8,1.1,0.4
1998,Tula Oblast,2.3,23.8,11.5,0.4,0.1
1998,Tyumen Oblast,3.0,23.8,11.5,0.8,0.3
1998,Udmurt Republic,3.6,15.8,11.4,0.9,0.2
1998,Ulyanovsk Oblast,1.0,34.8,9.7,0.3,0.2
1998,Khabarovsk Krai,3.7,24.8,15.6,1.4,0.6
1998,Republic of Khakassia,1.6,38.3,6.8,0.9,0.1
1998,Khanty–Mansi Autonomous Okrug – Yugra,3.0,23.8,11.5,0.8,0.3
1998,Chelyabinsk Oblast,4.7,27.9,11.1,1.4,0.2
1998,Chechen Republic,,,,,
1998,Chuvash Republic,1.6,20.9,8.8,0.8,0.02
1998,Chukotka Autonomous Okrug,0.3,1.8,4.6,0.6,0.1
1998,Sakha (Yakutia) Republic,1.7,16.7,18.9,1.4,0.2
1998,Yamalo-Nenets Autonomous Okrug,3.0,23.8,11.5,0.8,0.3
1998,Yaroslavl Oblast,3.5,32.4,21.1,0.7,0.3
1999,Republic of Adygea,2.3,11.2,4.3,0.3,0.1
1999,Altai Krai,2.2,24.7,11.5,1.1,0.1
1999,Amur Oblast,2.9,26.7,16.2,0.7,0.2
1999,Arkhangelsk Oblast,4.6,17.4,14.9,0.6,0.3
1999,Astrakhan Oblast,3.8,18.6,10.2,0.5,0.1
1999,Republic of Bashkortostan,1.5,22.3,12.0,0.8,0.1
1999,Belgorod Oblast,2.7,22.3,10.3,0.7,0.1
1999,Bryansk Oblast,3.1,34.8,10.6,0.5,0.1
1999,Republic of Buryatia,1.3,9.5,19.6,1.1,0.1
1999,Vladimir Oblast,1.8,21.4,16.1,0.5,0.1
1999,Volgograd Oblast,3.5,36.5,9.2,2.1,0.2
1999,Vologda Oblast,2.5,24.8,17.4,0.4,0.1
1999,Voronezh Oblast,2.1,24.4,11.7,1.0,0.1
1999,Republic of Dagestan,3.8,1.6,1.0,0.2,0.1
1999,Jewish Autonomous Oblast,3.4,11.5,11.4,0.4,0.2
1999,Zabaykalsky Krai,1.1,11.5,5.8,0.2,0.1
1999,Ivanovo Oblast,1.6,28.4,15.1,0.1,0.04
1999,Republic of Ingushetia,,,,,
1999,Irkutsk Oblast,5.6,29.1,14.7,0.9,0.4
1999,Kabardino-Balkar Republic,1.8,12.6,8.2,0.4,0.3
1999,Kaliningrad Oblast,3.1,27.6,15.3,1.0,0.7
1999,Republic of Kalmykia,2.7,5.2,14.1,0.6,0.1
1999,Kaluga Oblast,2.8,26.5,17.7,0.9,0.1
1999,Kamchatka Krai,6.5,30.6,26.4,0.9,0.4
1999,Karachay-Cherkess Republic,2.1,6.9,10.9,0.1,0.04
1999,Republic of Karelia,2.4,21.0,15.0,0.3,0.1
1999,Kemerovo Oblast,2.5,26.1,17.4,0.5,0.2
1999,Kirov Oblast,1.5,13.1,13.6,0.3,0.1
1999,Kostroma Oblast,1.8,27.7,17.3,1.1,0.1
1999,Krasnodar Krai,6.8,39.6,8.2,1.0,0.3
1999,Krasnoyarsk Krai,4.0,32.2,15.3,1.1,0.3
1999,Republic of Crimea,,,,,
1999,Kurgan Oblast,3.8,25.2,14.4,0.9,0.2
1999,Kursk Oblast,1.3,30.0,4.8,0.3,0.1
1999,Leningrad Oblast,3.0,25.6,16.5,0.9,0.2
1999,Lipetsk Oblast,3.1,29.6,9.1,0.7,0.1
1999,Magadan Oblast,4.8,18.7,23.2,1.7,0.1
1999,Mari El Republic,1.8,20.8,10.8,0.3,0.04
1999,Republic of Mordovia,1.4,15.2,11.2,0.2,0.1
1999,Moscow,6.6,56.0,18.7,3.6,0.7
1999,Moscow Oblast,2.3,15.8,15.8,1.1,0.3
1999,Murmansk Oblast,4.5,27.1,17.8,1.6,0.6
1999,Nenets Autonomous Okrug,4.6,17.4,14.9,0.6,0.3
1999,Nizhny Novgorod Oblast,3.8,25.4,10.6,1.0,0.2
1999,Novgorod Oblast,4.9,48.8,17.6,0.9,0.3
1999,Novosibirsk Oblast,2.5,28.1,20.5,1.4,0.2
1999,Omsk Oblast,7.5,36.0,16.6,1.1,0.5
1999,Orenburg Oblast,1.6,24.3,11.2,0.9,0.1
1999,Oryol Oblast,3.8,29.4,15.0,1.0,0.3
1999,Penza Oblast,2.0,19.7,6.0,0.4,0.1
1999,Perm Krai,3.2,15.4,15.8,1.3,0.3
1999,Primorsky Krai,1.2,19.1,10.3,0.7,0.1
1999,Pskov Oblast,6.1,18.0,7.9,0.3,0.04
1999,Altai Republic,4.8,5.1,7.9,0.6,0.1
1999,Komi Republic,5.9,35.7,25.9,2.5,0.6
1999,Tuva Republic,1.8,11.8,10.9,0.3,0.4
1999,Rostov Oblast,6.2,27.8,9.7,1.5,0.1
1999,Ryazan Oblast,1.3,31.9,14.8,1.5,0.1
1999,Samara Oblast,1.8,24.6,7.5,1.3,0.2
1999,Saint Petersburg,2.6,57.4,13.0,1.7,0.6
1999,Saratov Oblast,1.7,19.3,7.3,1.0,0.1
1999,Sakhalin Oblast,1.6,19.4,21.0,0.4,0.1
1999,Sverdlovsk Oblast,3.7,38.3,13.2,0.9,0.3
1999,Sevastopol,,,,,
1999,Republic of North Ossetia-Alania,1.7,24.1,11.0,1.5,0.1
1999,Smolensk Oblast,3.4,53.8,16.4,0.5,0.1
1999,Stavropol Krai,5.9,25.9,13.3,1.7,0.4
1999,Tambov Oblast,1.5,20.6,8.9,1.1,0.2
1999,Republic of Tatarstan,1.3,29.6,16.6,0.5,0.1
1999,Tver Oblast,2.4,24.2,17.7,0.7,0.2
1999,Tomsk Oblast,4.6,22.1,16.2,0.8,0.3
1999,Tula Oblast,2.7,32.9,13.0,0.5,0.1
1999,Tyumen Oblast,4.1,34.4,13.5,0.7,0.3
1999,Udmurt Republic,2.3,16.7,13.9,0.6,0.2
1999,Ulyanovsk Oblast,1.1,46.3,10.6,0.3,0.1
1999,Khabarovsk Krai,4.6,30.0,16.4,1.1,0.4
1999,Republic of Khakassia,2.9,48.7,15.1,1.1,0.6
1999,Khanty–Mansi Autonomous Okrug – Yugra,4.1,34.4,13.5,0.7,0.3
1999,Chelyabinsk Oblast,4.5,32.5,14.0,0.9,0.1
1999,Chechen Republic,,,,,
1999,Chuvash Republic,2.8,25.5,10.8,0.4,0.02
1999,Chukotka Autonomous Okrug,0.4,2.3,6.7,0.6,0.1
1999,Sakha (Yakutia) Republic,1.8,16.3,17.5,0.5,0.2
1999,Yamalo-Nenets Autonomous Okrug,4.1,34.4,13.5,0.7,0.3
1999,Yaroslavl Oblast,3.6,39.6,21.1,0.8,0.2
2000,Republic of Adygea,3.1,27.4,5.4,0.6,0.1
2000,Altai Krai,2.1,33.2,9.9,1.3,0.1
2000,Amur Oblast,2.4,28.5,15.8,0.7,0.2
2000,Arkhangelsk Oblast,5.5,29.3,19.2,0.9,0.5
2000,Astrakhan Oblast,3.7,31.0,10.0,0.6,0.1
2000,Republic of Bashkortostan,1.4,33.1,12.2,0.2,0.2
2000,Belgorod Oblast,3.6,20.7,10.1,0.9,0.1
2000,Bryansk Oblast,3.0,36.4,7.6,0.4,0.1
2000,Republic of Buryatia,1.6,17.1,16.6,0.6,0.03
2000,Vladimir Oblast,2.3,22.1,14.5,0.5,0.1
2000,Volgograd Oblast,1.8,40.9,9.0,1.9,0.3
2000,Vologda Oblast,3.7,33.2,19.2,0.5,0.2
2000,Voronezh Oblast,3.4,24.8,9.1,1.2,0.2
2000,Republic of Dagestan,3.8,1.8,1.0,0.2,0.1
2000,Jewish Autonomous Oblast,4.8,13.4,12.2,0.5,0.1
2000,Zabaykalsky Krai,1.9,16.4,7.0,0.3,0.1
2000,Ivanovo Oblast,2.5,47.5,14.2,0.2,0.1
2000,Republic of Ingushetia,,,,,
2000,Irkutsk Oblast,6.0,39.4,15.5,1.3,0.5
2000,Kabardino-Balkar Republic,2.5,17.3,10.5,0.6,0.4
2000,Kaliningrad Oblast,3.2,38.4,15.8,1.3,0.8
2000,Republic of Kalmykia,3.2,9.1,14.2,0.9,0.1
2000,Kaluga Oblast,2.2,30.4,9.0,0.6,0.2
2000,Kamchatka Krai,7.1,32.7,26.6,0.8,0.4
2000,Karachay-Cherkess Republic,2.2,7.4,12.9,0.2,0.1
2000,Republic of Karelia,2.8,24.9,17.2,0.4,0.2
2000,Kemerovo Oblast,2.3,26.6,17.3,0.6,0.2
2000,Kirov Oblast,1.8,15.5,12.8,0.3,0.1
2000,Kostroma Oblast,1.3,24.0,15.2,0.3,0.1
2000,Krasnodar Krai,7.0,42.6,8.7,1.4,0.3
2000,Krasnoyarsk Krai,4.7,40.5,14.9,1.6,0.3
2000,Republic of Crimea,,,,,
2000,Kurgan Oblast,2.9,26.6,13.0,0.6,0.1
2000,Kursk Oblast,1.6,33.0,6.1,0.5,0.1
2000,Leningrad Oblast,3.8,37.7,14.7,1.3,0.3
2000,Lipetsk Oblast,2.3,31.9,9.3,0.7,0.2
2000,Magadan Oblast,4.3,24.6,23.9,1.8,0.2
2000,Mari El Republic,1.8,21.0,8.3,0.3,0.1
2000,Republic of Mordovia,1.4,15.9,10.9,0.3,0.1
2000,Moscow,6.3,61.8,18.8,3.9,0.6
2000,Moscow Oblast,3.1,22.6,17.2,0.6,0.3
2000,Murmansk Oblast,4.4,29.9,18.8,1.7,0.6
2000,Nenets Autonomous Okrug,5.5,29.3,19.2,0.9,0.5
2000,Nizhny Novgorod Oblast,3.9,27.3,9.7,1.0,0.1
2000,Novgorod Oblast,4.6,39.8,12.8,0.4,0.2
2000,Novosibirsk Oblast,2.6,37.3,20.7,1.6,0.2
2000,Omsk Oblast,4.6,41.5,10.3,0.6,0.3
2000,Orenburg Oblast,1.6,31.5,9.5,0.7,0.1
2000,Oryol Oblast,3.2,31.1,14.8,1.2,0.4
2000,Penza Oblast,1.8,27.0,6.4,0.3,0.1
2000,Perm Krai,4.1,30.7,20.0,1.3,0.3
2000,Primorsky Krai,1.8,25.1,15.0,0.6,0.2
2000,Pskov Oblast,7.1,22.0,12.9,0.5,0.1
2000,Altai Republic,5.4,12.1,9.8,0.7,0.1
2000,Komi Republic,4.6,35.1,27.4,1.9,0.4
2000,Tuva Republic,1.6,24.4,11.3,0.1,0.4
2000,Rostov Oblast,5.5,30.0,7.9,2.2,0.2
2000,Ryazan Oblast,2.1,32.2,13.3,1.2,0.1
2000,Samara Oblast,2.1,29.4,7.6,1.5,0.2
2000,Saint Petersburg,4.4,68.2,14.7,2.0,0.9
2000,Saratov Oblast,2.0,22.1,7.4,1.3,0.2
2000,Sakhalin Oblast,2.6,21.8,18.8,0.5,0.1
2000,Sverdlovsk Oblast,4.0,42.5,13.6,1.0,0.4
2000,Sevastopol,,,,,
2000,Republic of North Ossetia-Alania,2.6,19.9,9.8,1.3,0.1
2000,Smolensk Oblast,4.9,55.3,21.2,0.8,0.2
2000,Stavropol Krai,6.4,25.9,13.7,1.1,0.3
2000,Tambov Oblast,2.1,22.5,11.6,1.1,0.2
2000,Republic of Tatarstan,1.3,33.4,14.8,0.4,0.1
2000,Tver Oblast,4.0,33.7,17.1,0.7,0.3
2000,Tomsk Oblast,5.3,32.0,14.8,0.8,0.1
2000,Tula Oblast,2.7,36.4,13.2,0.6,0.1
2000,Tyumen Oblast,4.6,36.9,18.0,0.8,0.3
2000,Udmurt Republic,1.5,20.1,13.4,0.3,0.1
2000,Ulyanovsk Oblast,0.8,46.1,10.5,0.4,0.1
2000,Khabarovsk Krai,4.2,31.9,15.3,0.7,0.4
2000,Republic of Khakassia,3.0,47.9,17.0,1.4,0.6
2000,Khanty–Mansi Autonomous Okrug – Yugra,4.6,36.9,18.0,0.8,0.3
2000,Chelyabinsk Oblast,4.3,46.3,15.7,1.0,0.2
2000,Chechen Republic,,,,,
2000,Chuvash Republic,2.9,29.8,9.6,0.5,0.1
2000,Chukotka Autonomous Okrug,1.0,5.2,6.5,1.7,0.2
2000,Sakha (Yakutia) Republic,2.6,15.4,15.2,0.6,0.2
2000,Yamalo-Nenets Autonomous Okrug,4.6,36.9,18.0,0.8,0.3
2000,Yaroslavl Oblast,3.5,57.1,18.3,1.5,0.3
2001,Republic of Adygea,3.8,22.0,7.8,0.5,0.1
2001,Altai Krai,2.3,39.5,12.0,1.4,0.1
2001,Amur Oblast,2.6,31.2,17.6,0.6,0.2
2001,Arkhangelsk Oblast,7.0,47.6,23.5,1.2,0.9
2001,Astrakhan Oblast,3.8,42.6,11.9,0.8,0.1
2001,Republic of Bashkortostan,1.2,34.9,10.9,0.3,0.1
2001,Belgorod Oblast,3.4,23.2,9.5,0.8,0.1
2001,Bryansk Oblast,2.7,41.6,8.0,0.4,0.1
2001,Republic of Buryatia,1.7,11.7,18.7,0.6,0.1
2001,Vladimir Oblast,2.4,28.5,15.3,0.6,0.1
2001,Volgograd Oblast,2.1,42.5,11.9,1.8,0.3
2001,Vologda Oblast,7.8,50.5,23.0,0.5,0.3
2001,Voronezh Oblast,3.6,37.7,9.2,1.5,0.2
2001,Republic of Dagestan,4.6,3.3,1.8,0.4,0.1
2001,Jewish Autonomous Oblast,5.1,17.8,12.0,0.4,0.1
2001,Zabaykalsky Krai,3.5,23.8,8.6,0.4,0.1
2001,Ivanovo Oblast,3.3,60.7,16.5,0.3,0.1
2001,Republic of Ingushetia,9.9,9.5,4.0,1.3,1.5
2001,Irkutsk Oblast,7.1,38.9,11.9,1.4,0.5
2001,Kabardino-Balkar Republic,2.7,26.5,12.4,0.4,0.6
2001,Kaliningrad Oblast,1.7,44.5,13.3,1.1,0.7
2001,Republic of Kalmykia,3.4,13.9,15.4,1.3,0.1
2001,Kaluga Oblast,2.5,34.1,12.0,0.6,0.1
2001,Kamchatka Krai,7.4,33.6,26.7,0.9,0.4
2001,Karachay-Cherkess Republic,2.3,9.4,13.4,0.2,0.1
2001,Republic of Karelia,5.1,28.0,15.9,0.4,0.2
2001,Kemerovo Oblast,2.1,28.6,18.8,0.6,0.2
2001,Kirov Oblast,2.8,20.4,14.1,0.4,0.1
2001,Kostroma Oblast,3.5,25.4,17.2,0.6,0.2
2001,Krasnodar Krai,6.6,48.0,8.9,1.4,0.3
2001,Krasnoyarsk Krai,4.9,59.6,15.4,1.5,0.6
2001,Republic of Crimea,,,,,
2001,Kurgan Oblast,2.9,34.2,12.2,0.6,0.2
2001,Kursk Oblast,1.7,44.5,7.4,0.5,0.1
2001,Leningrad Oblast,5.0,59.7,17.5,1.8,0.4
2001,Lipetsk Oblast,2.5,42.9,9.3,0.7,0.2
2001,Magadan Oblast,4.7,28.3,23.6,1.4,0.2
2001,Mari El Republic,1.6,22.6,10.4,0.3,0.1
2001,Republic of Mordovia,1.4,23.5,11.8,0.3,0.1
2001,Moscow,5.0,78.9,19.7,4.2,0.7
2001,Moscow Oblast,3.2,23.7,16.8,0.3,0.3
2001,Murmansk Oblast,4.6,34.7,19.7,1.8,0.6
2001,Nenets Autonomous Okrug,7.0,47.6,23.5,1.2,0.9
2001,Nizhny Novgorod Oblast,4.8,34.7,9.8,0.9,0.2
2001,Novgorod Oblast,4.6,34.7,12.6,0.4,0.2
2001,Novosibirsk Oblast,2.7,48.4,20.6,1.3,0.3
2001,Omsk Oblast,4.6,55.5,12.3,0.6,0.3
2001,Orenburg Oblast,2.3,34.6,10.8,0.7,0.2
2001,Oryol Oblast,3.4,29.9,12.0,1.6,0.3
2001,Penza Oblast,5.1,30.1,6.8,0.4,0.1
2001,Perm Krai,4.1,56.9,15.9,0.8,0.3
2001,Primorsky Krai,1.5,26.5,15.2,0.6,0.1
2001,Pskov Oblast,9.6,33.5,13.3,0.5,0.1
2001,Altai Republic,5.7,18.7,10.6,0.9,0.1
2001,Komi Republic,5.6,37.6,28.5,0.8,0.5
2001,Tuva Republic,1.6,25.7,9.8,0.1,0.1
2001,Rostov Oblast,4.1,39.9,7.1,1.8,0.2
2001,Ryazan Oblast,2.4,40.3,13.5,1.4,0.1
2001,Samara Oblast,1.8,33.4,8.1,1.0,0.2
2001,Saint Petersburg,6.2,101.0,15.5,2.4,0.8
2001,Saratov Oblast,3.0,21.7,7.6,1.2,0.2
2001,Sakhalin Oblast,4.3,29.7,20.3,0.9,0.2
2001,Sverdlovsk Oblast,4.4,44.6,13.7,0.9,0.4
2001,Sevastopol,,,,,
2001,Republic of North Ossetia-Alania,5.6,15.7,8.9,1.2,0.1
2001,Smolensk Oblast,6.6,71.3,23.0,1.0,0.2
2001,Stavropol Krai,5.9,30.5,12.8,1.2,0.3
2001,Tambov Oblast,2.5,22.8,14.0,1.5,0.3
2001,Republic of Tatarstan,1.8,41.9,14.6,0.5,0.1
2001,Tver Oblast,5.0,35.4,18.4,1.4,0.1
2001,Tomsk Oblast,5.6,36.3,16.5,0.9,0.2
2001,Tula Oblast,3.3,40.1,14.1,0.6,0.2
2001,Tyumen Oblast,5.2,49.0,20.5,0.9,0.5
2001,Udmurt Republic,2.1,27.0,14.1,0.3,0.1
2001,Ulyanovsk Oblast,1.1,47.7,9.6,0.3,0.2
2001,Khabarovsk Krai,4.3,38.4,21.2,0.5,0.3
2001,Republic of Khakassia,3.3,53.6,15.6,1.4,0.6
2001,Khanty–Mansi Autonomous Okrug – Yugra,5.2,49.0,20.5,0.9,0.5
2001,Chelyabinsk Oblast,4.4,45.2,16.2,1.2,0.2
2001,Chechen Republic,,,,,
2001,Chuvash Republic,3.0,32.2,10.6,0.5,0.1
2001,Chukotka Autonomous Okrug,1.4,11.0,9.8,1.9,0.1
2001,Sakha (Yakutia) Republic,2.8,15.5,14.6,0.8,0.2
2001,Yamalo-Nenets Autonomous Okrug,5.2,49.0,20.5,0.9,0.5
2001,Yaroslavl Oblast,4.3,71.1,18.6,1.6,0.4
2002,Republic of Adygea,4.4,30.4,7.9,0.7,0.3
2002,Altai Krai,1.6,42.8,11.4,1.1,0.1
2002,Amur Oblast,2.3,35.4,17.9,0.5,0.2
2002,Arkhangelsk Oblast,8.1,76.1,29.5,1.5,1.2
2002,Astrakhan Oblast,4.1,44.0,12.0,0.8,0.2
2002,Republic of Bashkortostan,1.7,38.1,10.4,0.2,0.1
2002,Belgorod Oblast,3.3,23.2,9.4,0.9,0.1
2002,Bryansk Oblast,3.3,38.9,8.5,0.4,0.1
2002,Republic of Buryatia,2.3,21.0,19.9,0.6,0.1
2002,Vladimir Oblast,2.8,41.5,15.6,0.8,0.2
2002,Volgograd Oblast,2.4,43.9,13.2,1.6,0.4
2002,Vologda Oblast,11.7,51.9,22.2,0.4,0.5
2002,Voronezh Oblast,2.8,41.9,10.5,1.3,0.2
2002,Republic of Dagestan,2.7,9.6,4.9,0.6,0.2
2002,Jewish Autonomous Oblast,4.1,26.8,7.6,0.4,0.1
2002,Zabaykalsky Krai,4.7,31.3,10.9,0.5,0.1
2002,Ivanovo Oblast,3.7,61.2,16.7,0.6,0.2
2002,Republic of Ingushetia,7.5,8.7,4.3,0.8,0.8
2002,Irkutsk Oblast,8.1,47.8,10.8,1.1,0.4
2002,Kabardino-Balkar Republic,3.7,31.5,13.9,0.7,0.7
2002,Kaliningrad Oblast,2.4,64.5,17.3,1.3,0.9
2002,Republic of Kalmykia,4.1,20.9,15.0,1.5,0.1
2002,Kaluga Oblast,2.6,50.6,12.2,0.8,0.2
2002,Kamchatka Krai,7.3,35.3,25.9,1.2,0.5
2002,Karachay-Cherkess Republic,2.7,13.2,14.3,0.2,0.1
2002,Republic of Karelia,9.3,33.6,12.4,0.4,0.2
2002,Kemerovo Oblast,3.0,30.8,20.2,0.9,0.3
2002,Kirov Oblast,4.5,27.3,14.9,0.5,0.1
2002,Kostroma Oblast,3.2,27.1,16.9,0.5,0.1
2002,Krasnodar Krai,7.9,50.1,7.9,1.3,0.5
2002,Krasnoyarsk Krai,5.2,67.4,15.3,1.4,0.6
2002,Republic of Crimea,,,,,
2002,Kurgan Oblast,2.7,37.9,11.7,0.5,0.1
2002,Kursk Oblast,1.8,53.8,6.7,0.5,0.1
2002,Leningrad Oblast,7.1,65.3,20.4,2.3,0.6
2002,Lipetsk Oblast,2.5,49.5,10.0,0.7,0.2
2002,Magadan Oblast,4.0,33.0,18.9,1.4,0.2
2002,Mari El Republic,2.9,23.8,11.7,0.4,0.1
2002,Republic of Mordovia,2.5,22.0,10.0,0.3,0.1
2002,Moscow,4.8,85.7,20.8,4.0,0.9
2002,Moscow Oblast,3.6,29.4,16.9,0.7,0.4
2002,Murmansk Oblast,5.3,40.0,20.9,1.9,0.6
2002,Nenets Autonomous Okrug,8.1,76.1,29.5,1.5,1.2
2002,Nizhny Novgorod Oblast,5.2,39.8,10.6,1.0,0.2
2002,Novgorod Oblast,5.0,37.1,13.1,0.5,0.2
2002,Novosibirsk Oblast,3.0,47.7,19.9,1.0,0.3
2002,Omsk Oblast,4.9,84.2,13.9,0.6,0.3
2002,Orenburg Oblast,2.3,34.2,10.9,0.7,0.2
2002,Oryol Oblast,3.7,29.4,11.1,1.2,0.3
2002,Penza Oblast,5.7,32.3,6.9,0.4,0.1
2002,Perm Krai,5.6,58.2,17.4,0.8,0.4
2002,Primorsky Krai,1.6,28.3,16.0,0.6,0.1
2002,Pskov Oblast,10.3,46.3,10.8,0.6,0.1
2002,Altai Republic,5.7,30.9,10.1,1.0,0.1
2002,Komi Republic,7.6,33.9,28.4,0.9,0.5
2002,Tuva Republic,2.0,23.3,13.5,0.2,0.1
2002,Rostov Oblast,4.0,44.7,7.0,1.5,0.3
2002,Ryazan Oblast,2.8,43.2,12.4,1.3,0.1
2002,Samara Oblast,1.8,38.6,8.0,1.2,0.2
2002,Saint Petersburg,6.3,104.6,17.2,2.6,0.9
2002,Saratov Oblast,3.2,28.1,9.2,0.9,0.2
2002,Sakhalin Oblast,5.3,37.5,24.5,1.6,0.5
2002,Sverdlovsk Oblast,6.1,52.1,15.4,1.0,0.5
2002,Sevastopol,,,,,
2002,Republic of North Ossetia-Alania,1.0,14.9,8.5,1.2,0.1
2002,Smolensk Oblast,8.7,96.2,25.4,1.4,0.2
2002,Stavropol Krai,6.0,32.7,11.7,1.2,0.4
2002,Tambov Oblast,2.5,27.9,13.9,1.4,0.3
2002,Republic of Tatarstan,2.2,29.1,15.4,0.6,0.1
2002,Tver Oblast,6.1,40.0,21.2,1.2,0.2
2002,Tomsk Oblast,7.9,36.5,16.5,0.9,0.3
2002,Tula Oblast,3.5,46.3,13.2,0.7,0.2
2002,Tyumen Oblast,5.8,77.0,23.3,1.0,0.6
2002,Udmurt Republic,2.7,29.4,13.7,0.4,0.1
2002,Ulyanovsk Oblast,2.1,44.8,9.1,0.5,0.2
2002,Khabarovsk Krai,4.5,31.8,17.1,0.7,0.3
2002,Republic of Khakassia,4.4,56.3,15.8,1.5,0.6
2002,Khanty–Mansi Autonomous Okrug – Yugra,5.8,77.0,23.3,1.0,0.6
2002,Chelyabinsk Oblast,4.1,55.7,16.8,1.1,0.5
2002,Chechen Republic,,,,,
2002,Chuvash Republic,3.0,31.7,11.1,0.5,0.2
2002,Chukotka Autonomous Okrug,1.9,6.4,13.3,1.6,0.3
2002,Sakha (Yakutia) Republic,3.6,16.3,16.1,1.1,0.3
2002,Yamalo-Nenets Autonomous Okrug,5.8,77.0,23.3,1.0,0.6
2002,Yaroslavl Oblast,4.5,90.1,20.3,1.0,0.3
