ObjectId,Branch,Month,Performance_Indicator,Quantity
90,System,2020/06/18 00:00:00,FLC Borrows incoming,8636
91,NoBo,2020/01/18 00:00:00,Door Counts,3836
92,System,2020/07/18 00:00:00,FLC Borrows incoming,8580
93,NoBo,2020/02/18 00:00:00,Door Counts,3249
94,System,2020/08/18 00:00:00,FLC Borrows incoming,8886
95,NoBo,2020/03/18 00:00:00,Door Counts,4254
96,System,2020/09/18 00:00:00,FLC Borrows incoming,8141
97,NoBo,2020/04/18 00:00:00,Door Counts,3379
98,System,2020/10/18 00:00:00,FLC Borrows incoming,8429
99,NoBo,2020/05/18 00:00:00,Door Counts,4030
100,NoBo,2020/06/18 00:00:00,Door Counts,3380
101,Main,2020/01/18 00:00:00,Circulation (Collections),75337
102,Main,2020/02/18 00:00:00,Circulation (Collections),68518
103,Main,2020/03/18 00:00:00,Circulation (Collections),76957
104,Main,2020/04/18 00:00:00,Circulation (Collections),73283
105,Main,2020/05/18 00:00:00,Circulation (Collections),70420
106,Main,2020/06/18 00:00:00,Circulation (Collections),74618
107,Main,2020/07/18 00:00:00,Circulation (Collections),75514
108,Main,2020/08/18 00:00:00,Circulation (Collections),69500
109,Main,2020/09/18 00:00:00,Circulation (Collections),65795
110,Main,2020/10/18 00:00:00,Circulation (Collections),66922
111,Main,2020/11/18 00:00:00,Circulation (Collections),70170
112,Main,2020/12/18 00:00:00,Circulation (Collections),64608
113,Meadows,2020/01/18 00:00:00,Circulation (Collections),18699
114,Meadows,2020/02/18 00:00:00,Circulation (Collections),16502
115,Meadows,2020/03/18 00:00:00,Circulation (Collections),18760
116,Meadows,2020/04/18 00:00:00,Circulation (Collections),17705
117,Meadows,2020/05/18 00:00:00,Circulation (Collections),18002
118,Meadows,2020/06/18 00:00:00,Circulation (Collections),18712
119,Meadows,2020/07/18 00:00:00,Circulation (Collections),17959
120,Meadows,2020/08/18 00:00:00,Circulation (Collections),17677
121,Meadows,2020/09/18 00:00:00,Circulation (Collections),16600
122,Meadows,2020/10/18 00:00:00,Circulation (Collections),17078
123,Meadows,2020/11/18 00:00:00,Circulation (Collections),17538
124,Meadows,2020/12/18 00:00:00,Circulation (Collections),16048
125,Reynolds,2020/01/18 00:00:00,Circulation (Collections),18761
126,Reynolds,2020/02/18 00:00:00,Circulation (Collections),16140
127,Reynolds,2020/03/18 00:00:00,Circulation (Collections),18098
128,Reynolds,2020/04/18 00:00:00,Circulation (Collections),16797
129,Reynolds,2020/05/18 00:00:00,Circulation (Collections),17831
130,Reynolds,2020/06/18 00:00:00,Circulation (Collections),18831
131,Reynolds,2020/07/18 00:00:00,Circulation (Collections),17545
132,Reynolds,2020/08/18 00:00:00,Circulation (Collections),16732
133,Reynolds,2020/09/18 00:00:00,Circulation (Collections),16399
134,Reynolds,2020/10/18 00:00:00,Circulation (Collections),16771
135,Reynolds,2020/11/18 00:00:00,Circulation (Collections),16569
136,Reynolds,2020/12/18 00:00:00,Circulation (Collections),15386
137,NoBo,2020/01/18 00:00:00,Circulation (Collections),3530
138,NoBo,2020/02/18 00:00:00,Circulation (Collections),2881
139,NoBo,2020/03/18 00:00:00,Circulation (Collections),3252
140,NoBo,2020/04/18 00:00:00,Circulation (Collections),3256
141,NoBo,2020/05/18 00:00:00,Circulation (Collections),3119
142,NoBo,2020/06/18 00:00:00,Circulation (Collections),3066
143,NoBo,2020/07/18 00:00:00,Circulation (Collections),3094
144,NoBo,2020/08/18 00:00:00,Circulation (Collections),2745
145,NoBo,2020/09/18 00:00:00,Circulation (Collections),2829
146,NoBo,2020/10/18 00:00:00,Circulation (Collections),3138
147,NoBo,2020/11/18 00:00:00,Circulation (Collections),2806
148,NoBo,2020/12/18 00:00:00,Circulation (Collections),2817
149,System,2020/01/18 00:00:00,Circulation (Patron Activity),119996
150,System,2020/02/18 00:00:00,Circulation (Patron Activity),107001
151,System,2020/03/18 00:00:00,Circulation (Patron Activity),120748
152,System,2020/04/18 00:00:00,Circulation (Patron Activity),113707
153,System,2020/05/18 00:00:00,Circulation (Patron Activity),113447
154,System,2020/06/18 00:00:00,Circulation (Patron Activity),119125
155,System,2020/07/18 00:00:00,Circulation (Patron Activity),117225
156,System,2020/08/18 00:00:00,Circulation (Patron Activity),110198
157,System,2020/09/18 00:00:00,Circulation (Patron Activity),103619
158,System,2020/01/18 00:00:00,WiFi Sessions,61747
159,BLDG 61,2020/03/18 00:00:00,Programs Attendance-Children,55
160,System,2020/10/18 00:00:00,Circulation (Patron Activity),107052
161,System,2020/11/18 00:00:00,Circulation (Patron Activity),110038
162,System,2020/12/18 00:00:00,Circulation (Patron Activity),103439
163,System,2020/01/18 00:00:00,Web sessions,133442
164,System,2020/02/18 00:00:00,Web sessions,116028
165,System,2020/03/18 00:00:00,Web sessions,126513
166,System,2020/04/18 00:00:00,Web sessions,124025
167,System,2020/05/18 00:00:00,Web sessions,123614
168,System,2020/06/18 00:00:00,Web sessions,121280
169,System,2020/07/18 00:00:00,Web sessions,125606
170,System,2020/08/18 00:00:00,Web sessions,126797
171,System,2020/09/18 00:00:00,Web sessions,117614
172,System,2020/10/18 00:00:00,Web sessions,127114
173,System,2020/11/18 00:00:00,Web sessions,126586
174,System,2020/12/18 00:00:00,Web sessions,121278
175,System,2020/01/18 00:00:00,New Patrons,906
176,System,2020/02/18 00:00:00,New Patrons,741
177,System,2020/03/18 00:00:00,New Patrons,813
178,System,2020/04/18 00:00:00,New Patrons,823
179,System,2020/05/18 00:00:00,New Patrons,858
180,System,2020/06/18 00:00:00,New Patrons,1174
181,System,2020/07/18 00:00:00,New Patrons,1105
182,System,2020/08/18 00:00:00,New Patrons,1194
183,System,2020/09/18 00:00:00,New Patrons,982
184,System,2020/10/18 00:00:00,New Patrons,974
185,System,2020/11/18 00:00:00,New Patrons,845
186,System,2020/12/18 00:00:00,New Patrons,702
187,System,2020/01/18 00:00:00,Database Use,24415
188,System,2020/02/18 00:00:00,Database Use,27912
189,System,2020/03/18 00:00:00,Database Use,22775
190,System,2020/04/18 00:00:00,Database Use,19205
191,System,2020/05/18 00:00:00,Database Use,13711
192,System,2020/06/18 00:00:00,Database Use,8956
193,System,2020/07/18 00:00:00,Database Use,25102
194,System,2020/08/18 00:00:00,Database Use,29951
195,System,2020/09/18 00:00:00,Database Use,15461
196,System,2020/10/18 00:00:00,Database Use,15117
197,System,2020/11/18 00:00:00,Database Use,16319
198,System,2020/12/18 00:00:00,Database Use,20651
199,System,2020/01/18 00:00:00,eCollection Use,15823
200,System,2020/02/18 00:00:00,eCollection Use,14876
201,System,2020/03/18 00:00:00,eCollection Use,16734
202,System,2020/04/18 00:00:00,eCollection Use,16491
203,BLDG 61,2020/04/18 00:00:00,Programs Attendance-Children,240
204,System,2020/02/18 00:00:00,WiFi Sessions,9465
205,BLDG 61,2020/05/18 00:00:00,Programs Attendance-Children,104
206,System,2020/03/18 00:00:00,WiFi Sessions,35665
207,BLDG 61,2020/06/18 00:00:00,Programs Attendance-Children,0
208,System,2020/04/18 00:00:00,WiFi Sessions,35760
209,BLDG 61,2020/07/18 00:00:00,Programs Attendance-Children,14
210,System,2020/05/18 00:00:00,WiFi Sessions,32339
211,BLDG 61,2020/08/18 00:00:00,Programs Attendance-Children,0
212,System,2020/06/18 00:00:00,WiFi Sessions,32454
213,BLDG 61,2020/09/18 00:00:00,Programs Attendance-Children,0
214,System,2020/07/18 00:00:00,WiFi Sessions,34026
215,BLDG 61,2020/10/18 00:00:00,Programs Attendance-Children,30
216,System,2020/08/18 00:00:00,WiFi Sessions,31152
217,BLDG 61,2020/11/18 00:00:00,Programs Attendance-Children,20
218,System,2020/09/18 00:00:00,WiFi Sessions,43582
219,BLDG 61,2020/12/18 00:00:00,Programs Attendance-Children,44
220,System,2020/10/18 00:00:00,WiFi Sessions,33572
221,BLDG 61,2020/01/18 00:00:00,Programs Offered-Teen,3
222,System,2020/11/18 00:00:00,WiFi Sessions,31107
223,BLDG 61,2020/02/18 00:00:00,Programs Offered-Teen,6
224,System,2020/12/18 00:00:00,WiFi Sessions,24949
225,BLDG 61,2020/03/18 00:00:00,Programs Offered-Teen,4
226,BLDG 61,2020/01/18 00:00:00,Programs Offered-Adult,28
227,BLDG 61,2020/04/18 00:00:00,Programs Offered-Teen,4
228,BLDG 61,2020/02/18 00:00:00,Programs Offered-Adult,38
229,BLDG 61,2020/05/18 00:00:00,Programs Offered-Teen,2
230,BLDG 61,2020/03/18 00:00:00,Programs Offered-Adult,47
231,BLDG 61,2020/06/18 00:00:00,Programs Offered-Teen,7
232,BLDG 61,2020/04/18 00:00:00,Programs Offered-Adult,44
233,BLDG 61,2020/07/18 00:00:00,Programs Offered-Teen,8
234,BLDG 61,2020/05/18 00:00:00,Programs Offered-Adult,88
235,BLDG 61,2020/08/18 00:00:00,Programs Offered-Teen,0
236,BLDG 61,2020/06/18 00:00:00,Programs Offered-Adult,49
237,BLDG 61,2020/09/18 00:00:00,Programs Offered-Teen,3
238,BLDG 61,2020/07/18 00:00:00,Programs Offered-Adult,44
239,BLDG 61,2020/10/18 00:00:00,Programs Offered-Teen,3
240,BLDG 61,2020/08/18 00:00:00,Programs Offered-Adult,60
241,BLDG 61,2020/11/18 00:00:00,Programs Offered-Teen,5
242,BLDG 61,2020/09/18 00:00:00,Programs Offered-Adult,57
243,BLDG 61,2020/10/18 00:00:00,Programs Offered-Adult,64
244,BLDG 61,2020/11/18 00:00:00,Programs Offered-Adult,60
245,BLDG 61,2020/12/18 00:00:00,Programs Offered-Adult,40
246,BLDG 61,2020/01/18 00:00:00,Programs Attendance-Adult,403
247,BLDG 61,2020/02/18 00:00:00,Programs Attendance-Adult,522
248,BLDG 61,2020/03/18 00:00:00,Programs Attendance-Adult,545
249,BLDG 61,2020/04/18 00:00:00,Programs Attendance-Adult,580
250,BLDG 61,2020/05/18 00:00:00,Programs Attendance-Adult,1412
251,BLDG 61,2020/06/18 00:00:00,Programs Attendance-Adult,709
252,BLDG 61,2020/07/18 00:00:00,Programs Attendance-Adult,720
253,BLDG 61,2020/08/18 00:00:00,Programs Attendance-Adult,816
254,BLDG 61,2020/09/18 00:00:00,Programs Attendance-Adult,844
255,BLDG 61,2020/10/18 00:00:00,Programs Attendance-Adult,836
256,BLDG 61,2020/11/18 00:00:00,Programs Attendance-Adult,820
257,BLDG 61,2020/12/18 00:00:00,Programs Attendance-Adult,650
258,BLDG 61,2020/01/18 00:00:00,Programs Offered-Children,3
259,BLDG 61,2020/02/18 00:00:00,Programs Offered-Children,3
260,BLDG 61,2020/03/18 00:00:00,Programs Offered-Children,2
261,BLDG 61,2020/04/18 00:00:00,Programs Offered-Children,6
262,BLDG 61,2020/05/18 00:00:00,Programs Offered-Children,4
263,BLDG 61,2020/06/18 00:00:00,Programs Offered-Children,0
264,BLDG 61,2020/07/18 00:00:00,Programs Offered-Children,1
265,BLDG 61,2020/08/18 00:00:00,Programs Offered-Children,0
266,BLDG 61,2020/09/18 00:00:00,Programs Offered-Children,0
267,BLDG 61,2020/10/18 00:00:00,Programs Offered-Children,1
268,BLDG 61,2020/11/18 00:00:00,Programs Offered-Children,1
269,BLDG 61,2020/12/18 00:00:00,Programs Offered-Children,3
270,BLDG 61,2020/01/18 00:00:00,Programs Attendance-Children,116
271,BLDG 61,2020/02/18 00:00:00,Programs Attendance-Children,102
272,BLDG 61,2020/12/18 00:00:00,Programs Offered-Teen,4
273,BLDG 61,2020/01/18 00:00:00,Programs Attendance-Teen,47
274,BLDG 61,2020/02/18 00:00:00,Programs Attendance-Teen,84
275,BLDG 61,2020/03/18 00:00:00,Programs Attendance-Teen,52
276,BLDG 61,2020/04/18 00:00:00,Programs Attendance-Teen,23
277,BLDG 61,2020/05/18 00:00:00,Programs Attendance-Teen,10
278,BLDG 61,2020/06/18 00:00:00,Programs Attendance-Teen,150
279,BLDG 61,2020/07/18 00:00:00,Programs Attendance-Teen,110
280,BLDG 61,2020/08/18 00:00:00,Programs Attendance-Teen,0
281,BLDG 61,2020/09/18 00:00:00,Programs Attendance-Teen,64
282,BLDG 61,2020/10/18 00:00:00,Programs Attendance-Teen,9
283,BLDG 61,2020/11/18 00:00:00,Programs Attendance-Teen,63
284,BLDG 61,2020/12/18 00:00:00,Programs Attendance-Teen,62
285,Main,2020/01/18 00:00:00,Programs Offered-Adult,53
286,Main,2020/02/18 00:00:00,Programs Offered-Adult,65
287,Main,2020/03/18 00:00:00,Programs Offered-Adult,76
288,Main,2020/04/18 00:00:00,Programs Offered-Adult,82
289,Main,2020/05/18 00:00:00,Programs Offered-Adult,80
290,Main,2020/06/18 00:00:00,Programs Offered-Adult,77
291,Main,2020/07/18 00:00:00,Programs Offered-Adult,68
292,Main,2020/08/18 00:00:00,Programs Offered-Adult,73
293,Main,2020/09/18 00:00:00,Programs Offered-Adult,108
294,Main,2020/10/18 00:00:00,Programs Offered-Adult,82
295,Main,2020/11/18 00:00:00,Programs Offered-Adult,69
296,Main,2020/12/18 00:00:00,Programs Offered-Adult,66
297,Meadows,2020/01/18 00:00:00,Programs Offered-Adult,6
298,Meadows,2020/02/18 00:00:00,Programs Offered-Adult,5
299,Meadows,2020/03/18 00:00:00,Programs Offered-Adult,5
300,Meadows,2020/04/18 00:00:00,Programs Offered-Adult,5
301,NoBo,2020/07/18 00:00:00,Door Counts,3285
302,NoBo,2020/08/18 00:00:00,Door Counts,3110
303,NoBo,2020/09/18 00:00:00,Door Counts,2993
304,NoBo,2020/10/18 00:00:00,Door Counts,3536
305,NoBo,2020/11/18 00:00:00,Door Counts,2994
306,NoBo,2020/12/18 00:00:00,Door Counts,3110
307,Carnegie,2020/01/18 00:00:00,Door Counts,150
308,Carnegie,2020/02/18 00:00:00,Door Counts,163
309,Carnegie,2020/03/18 00:00:00,Door Counts,202
310,Carnegie,2020/04/18 00:00:00,Door Counts,191
311,Carnegie,2020/05/18 00:00:00,Door Counts,175
312,Carnegie,2020/06/18 00:00:00,Door Counts,200
313,Carnegie,2020/07/18 00:00:00,Door Counts,211
314,Carnegie,2020/08/18 00:00:00,Door Counts,196
315,Carnegie,2020/09/18 00:00:00,Door Counts,267
316,Carnegie,2020/10/18 00:00:00,Door Counts,198
317,Carnegie,2020/11/18 00:00:00,Door Counts,247
318,Carnegie,2020/12/18 00:00:00,Door Counts,143
319,Main,2020/01/18 00:00:00,Holds Filled (Collections),11573
320,Main,2020/02/18 00:00:00,Holds Filled (Collections),10582
321,Main,2020/03/18 00:00:00,Holds Filled (Collections),11388
322,Main,2020/04/18 00:00:00,Holds Filled (Collections),10963
323,Main,2020/05/18 00:00:00,Holds Filled (Collections),10436
324,Main,2020/06/18 00:00:00,Holds Filled (Collections),10563
325,Main,2020/07/18 00:00:00,Holds Filled (Collections),9794
326,Main,2020/08/18 00:00:00,Holds Filled (Collections),10574
327,Main,2020/09/18 00:00:00,Holds Filled (Collections),9730
328,Main,2020/10/18 00:00:00,Holds Filled (Collections),10721
329,Main,2020/11/18 00:00:00,Holds Filled (Collections),10476
330,Main,2020/12/18 00:00:00,Holds Filled (Collections),9787
331,Meadows,2020/01/18 00:00:00,Holds Filled (Collections),3005
332,Meadows,2020/02/18 00:00:00,Holds Filled (Collections),2568
333,Meadows,2020/03/18 00:00:00,Holds Filled (Collections),2828
334,Meadows,2020/04/18 00:00:00,Holds Filled (Collections),2667
335,Meadows,2020/05/18 00:00:00,Holds Filled (Collections),2664
336,Meadows,2020/06/18 00:00:00,Holds Filled (Collections),2735
337,Meadows,2020/07/18 00:00:00,Holds Filled (Collections),2388
338,Meadows,2020/08/18 00:00:00,Holds Filled (Collections),2548
339,Meadows,2020/09/18 00:00:00,Holds Filled (Collections),2562
340,Meadows,2020/10/18 00:00:00,Holds Filled (Collections),2588
341,Meadows,2020/11/18 00:00:00,Holds Filled (Collections),2449
342,Meadows,2020/12/18 00:00:00,Holds Filled (Collections),2355
343,Reynolds,2020/01/18 00:00:00,Holds Filled (Collections),3316
344,Reynolds,2020/02/18 00:00:00,Holds Filled (Collections),2815
345,Reynolds,2020/03/18 00:00:00,Holds Filled (Collections),2991
346,Reynolds,2020/04/18 00:00:00,Holds Filled (Collections),2832
347,Reynolds,2020/05/18 00:00:00,Holds Filled (Collections),2717
348,Reynolds,2020/06/18 00:00:00,Holds Filled (Collections),2793
349,Reynolds,2020/07/18 00:00:00,Holds Filled (Collections),2504
350,Reynolds,2020/08/18 00:00:00,Holds Filled (Collections),2753
351,System,2020/11/18 00:00:00,FLC Borrows incoming,8273
352,System,2020/12/18 00:00:00,FLC Borrows incoming,7705
353,Main,2020/01/18 00:00:00,PC Sessions,7520
354,Main,2020/02/18 00:00:00,PC Sessions,7391
355,Main,2020/03/18 00:00:00,PC Sessions,7995
356,Main,2020/04/18 00:00:00,PC Sessions,7817
357,Main,2020/05/18 00:00:00,PC Sessions,7667
358,Main,2020/06/18 00:00:00,PC Sessions,7540
359,Main,2020/07/18 00:00:00,PC Sessions,7909
360,Main,2020/08/18 00:00:00,PC Sessions,7956
361,Main,2020/09/18 00:00:00,PC Sessions,6759
362,Main,2020/10/18 00:00:00,PC Sessions,
363,Main,2020/11/18 00:00:00,PC Sessions,
364,Main,2020/12/18 00:00:00,PC Sessions,
365,Meadows,2020/01/18 00:00:00,PC Sessions,
366,Meadows,2020/02/18 00:00:00,PC Sessions,1107
367,Meadows,2020/03/18 00:00:00,PC Sessions,1646
368,Meadows,2020/04/18 00:00:00,PC Sessions,1610
369,Meadows,2020/05/18 00:00:00,PC Sessions,1447
370,Meadows,2020/06/18 00:00:00,PC Sessions,1597
371,Meadows,2020/07/18 00:00:00,PC Sessions,1715
372,Meadows,2020/08/18 00:00:00,PC Sessions,1760
373,Meadows,2020/09/18 00:00:00,PC Sessions,1459
374,Meadows,2020/10/18 00:00:00,PC Sessions,
375,Meadows,2020/11/18 00:00:00,PC Sessions,
376,Meadows,2020/12/18 00:00:00,PC Sessions,
377,Reynolds,2020/01/18 00:00:00,PC Sessions,1477
378,Reynolds,2020/02/18 00:00:00,PC Sessions,1361
379,Reynolds,2020/03/18 00:00:00,PC Sessions,1577
380,Reynolds,2020/04/18 00:00:00,PC Sessions,1618
381,Reynolds,2020/05/18 00:00:00,PC Sessions,1681
382,Reynolds,2020/06/18 00:00:00,PC Sessions,1506
383,Reynolds,2020/07/18 00:00:00,PC Sessions,1550
384,Reynolds,2020/08/18 00:00:00,PC Sessions,1579
385,Reynolds,2020/09/18 00:00:00,PC Sessions,1454
386,Reynolds,2020/10/18 00:00:00,PC Sessions,
387,Reynolds,2020/11/18 00:00:00,PC Sessions,
388,Reynolds,2020/12/18 00:00:00,PC Sessions,
389,NoBo,2020/01/18 00:00:00,PC Sessions,
390,NoBo,2020/02/18 00:00:00,PC Sessions,
391,NoBo,2020/03/18 00:00:00,PC Sessions,
392,NoBo,2020/04/18 00:00:00,PC Sessions,
393,NoBo,2020/05/18 00:00:00,PC Sessions,
394,NoBo,2020/06/18 00:00:00,PC Sessions,
395,NoBo,2020/07/18 00:00:00,PC Sessions,248
396,NoBo,2020/08/18 00:00:00,PC Sessions,239
397,NoBo,2020/09/18 00:00:00,PC Sessions,254
398,NoBo,2020/10/18 00:00:00,PC Sessions,
399,NoBo,2020/11/18 00:00:00,PC Sessions,
400,NoBo,2020/12/18 00:00:00,PC Sessions,
401,Meadows,2020/05/18 00:00:00,Programs Offered-Adult,7
402,Meadows,2020/06/18 00:00:00,Programs Offered-Adult,7
403,Meadows,2020/07/18 00:00:00,Programs Offered-Adult,8
404,Meadows,2020/08/18 00:00:00,Programs Offered-Adult,6
405,Carnegie,2020/09/18 00:00:00,Programs Attendance-Adult,0
406,Meadows,2020/05/18 00:00:00,Programs Attendance-Children,259
407,NoBo,2020/01/18 00:00:00,Storytime Attendance,121
408,NoBo,2020/11/18 00:00:00,Storytime Events,14
409,Meadows,2020/09/18 00:00:00,Programs Offered-Adult,6
410,Meadows,2020/10/18 00:00:00,Programs Offered-Adult,7
411,Meadows,2020/11/18 00:00:00,Programs Offered-Adult,6
412,Meadows,2020/12/18 00:00:00,Programs Offered-Adult,7
413,Reynolds,2020/01/18 00:00:00,Programs Offered-Adult,1
414,Reynolds,2020/02/18 00:00:00,Programs Offered-Adult,0
415,Reynolds,2020/03/18 00:00:00,Programs Offered-Adult,1
416,Reynolds,2020/04/18 00:00:00,Programs Offered-Adult,1
417,Reynolds,2020/05/18 00:00:00,Programs Offered-Adult,1
418,Reynolds,2020/06/18 00:00:00,Programs Offered-Adult,1
419,Reynolds,2020/07/18 00:00:00,Programs Offered-Adult,1
420,Reynolds,2020/08/18 00:00:00,Programs Offered-Adult,1
421,Reynolds,2020/09/18 00:00:00,Programs Offered-Adult,1
422,Reynolds,2020/10/18 00:00:00,Programs Offered-Adult,1
423,Reynolds,2020/11/18 00:00:00,Programs Offered-Adult,1
424,Reynolds,2020/12/18 00:00:00,Programs Offered-Adult,3
425,NoBo,2020/01/18 00:00:00,Programs Offered-Adult,0
426,NoBo,2020/02/18 00:00:00,Programs Offered-Adult,0
427,NoBo,2020/03/18 00:00:00,Programs Offered-Adult,0
428,NoBo,2020/04/18 00:00:00,Programs Offered-Adult,0
429,NoBo,2020/05/18 00:00:00,Programs Offered-Adult,0
430,NoBo,2020/06/18 00:00:00,Programs Offered-Adult,0
431,NoBo,2020/07/18 00:00:00,Programs Offered-Adult,0
432,NoBo,2020/08/18 00:00:00,Programs Offered-Adult,2
433,NoBo,2020/09/18 00:00:00,Programs Offered-Adult,0
434,NoBo,2020/10/18 00:00:00,Programs Offered-Adult,0
435,NoBo,2020/11/18 00:00:00,Programs Offered-Adult,0
436,NoBo,2020/12/18 00:00:00,Programs Offered-Adult,0
437,Carnegie,2020/01/18 00:00:00,Programs Offered-Adult,0
438,Carnegie,2020/02/18 00:00:00,Programs Offered-Adult,0
439,Carnegie,2020/03/18 00:00:00,Programs Offered-Adult,1
440,Carnegie,2020/04/18 00:00:00,Programs Offered-Adult,0
441,Carnegie,2020/05/18 00:00:00,Programs Offered-Adult,0
442,Carnegie,2020/06/18 00:00:00,Programs Offered-Adult,0
443,Carnegie,2020/07/18 00:00:00,Programs Offered-Adult,1
444,Carnegie,2020/08/18 00:00:00,Programs Offered-Adult,0
445,Carnegie,2020/09/18 00:00:00,Programs Offered-Adult,0
446,Carnegie,2020/10/18 00:00:00,Programs Offered-Adult,0
447,Carnegie,2020/11/18 00:00:00,Programs Offered-Adult,0
448,Carnegie,2020/12/18 00:00:00,Programs Offered-Adult,0
449,Main,2020/01/18 00:00:00,Programs Attendance-Adult,1300
