DateTime,Holiday,HolidayFlag,DayOfWeek,WeekOfYear,Day,Month,Year,PeriodOfDay,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
02/11/2011 00:30,None,0,2,44,2,11,2011,1,12.00,48.20,341.24,1264.00,2757.26,36.53
02/11/2011 01:00,None,0,2,44,2,11,2011,2,12.00,48.20,354.87,1116.00,2645.58,36.53
02/11/2011 01:30,None,0,2,44,2,11,2011,3,12.00,50.00,371.32,998.00,2546.50,36.53
02/11/2011 02:00,None,0,2,44,2,11,2011,4,12.00,42.60,387.30,886.00,2465.26,5.66
02/11/2011 02:30,None,0,2,44,2,11,2011,5,12.00,50.00,400.07,816.00,2419.12,5.66
02/11/2011 03:00,None,0,2,44,2,11,2011,6,12.00,50.00,411.80,747.00,2416.97,5.66
02/11/2011 03:30,None,0,2,44,2,11,2011,7,12.00,44.40,417.81,751.00,2419.49,5.66
02/11/2011 04:00,None,0,2,44,2,11,2011,8,12.00,50.00,416.04,765.00,2431.44,5.66
02/11/2011 04:30,None,0,2,44,2,11,2011,9,12.00,48.20,418.83,735.00,2425.62,5.66
02/11/2011 05:00,None,0,2,44,2,11,2011,10,12.00,50.00,419.19,751.00,2476.72,36.53
02/11/2011 05:30,None,0,2,44,2,11,2011,11,12.00,51.90,425.83,709.00,2515.88,36.53
02/11/2011 06:00,None,0,2,44,2,11,2011,12,12.00,51.90,413.33,760.00,2658.52,29.95
02/11/2011 06:30,None,0,2,44,2,11,2011,13,12.00,50.00,380.44,934.00,2883.79,42.80
02/11/2011 07:00,None,0,2,44,2,11,2011,14,12.00,53.70,375.18,1078.00,3251.61,44.30
02/11/2011 07:30,None,0,2,44,2,11,2011,15,12.00,55.60,404.33,1143.00,3454.44,44.30
02/11/2011 08:00,None,0,2,44,2,11,2011,16,12.00,51.90,425.09,1150.00,3713.34,50.60
02/11/2011 08:30,None,0,2,44,2,11,2011,17,12.00,48.20,431.74,1251.00,3920.53,48.80
02/11/2011 09:00,None,0,2,44,2,11,2011,18,13.00,50.00,456.66,1293.00,4132.04,50.65
02/11/2011 09:30,None,0,2,44,2,11,2011,19,?,?,463.72,1294.00,4213.87,53.28
02/11/2011 10:00,None,0,2,44,2,11,2011,20,13.00,53.70,468.93,1259.00,4259.69,53.90
02/11/2011 10:30,None,0,2,44,2,11,2011,21,?,?,466.15,1317.00,4323.18,54.36
02/11/2011 11:00,None,0,2,44,2,11,2011,22,12.00,51.90,465.39,1316.00,4393.66,55.74
02/11/2011 11:30,None,0,2,44,2,11,2011,23,13.00,51.90,468.40,1304.00,4423.09,56.76
02/11/2011 12:00,None,0,2,44,2,11,2011,24,13.00,48.20,459.46,1326.00,4488.02,57.54
02/11/2011 12:30,None,0,2,44,2,11,2011,25,13.00,44.40,455.10,1364.00,4520.37,58.18
02/11/2011 13:00,None,0,2,44,2,11,2011,26,13.00,44.40,455.02,1356.00,4465.23,56.39
02/11/2011 13:30,None,0,2,44,2,11,2011,27,13.00,48.20,453.15,1373.00,4396.55,54.81
02/11/2011 14:00,None,0,2,44,2,11,2011,28,12.00,44.40,457.66,1353.00,4431.86,55.09
02/11/2011 14:30,None,0,2,44,2,11,2011,29,13.00,50.00,459.48,1340.00,4454.54,56.72
02/11/2011 15:00,None,0,2,44,2,11,2011,30,12.00,51.90,453.33,1323.00,4492.34,57.68
02/11/2011 15:30,None,0,2,44,2,11,2011,31,13.00,46.30,448.18,1322.00,4549.44,57.99
02/11/2011 16:00,None,0,2,44,2,11,2011,32,13.00,50.00,433.72,1398.00,4659.24,69.95
02/11/2011 16:30,None,0,2,44,2,11,2011,33,13.00,46.30,439.11,1378.00,4924.02,76.57
02/11/2011 17:00,None,0,2,44,2,11,2011,34,13.00,42.60,441.09,1394.00,5216.66,245.87
02/11/2011 17:30,None,0,2,44,2,11,2011,35,13.00,37.00,430.96,1389.00,5312.16,251.01
02/11/2011 18:00,None,0,2,44,2,11,2011,36,13.00,42.60,429.17,1412.00,5205.09,94.55
02/11/2011 18:30,None,0,2,44,2,11,2011,37,13.00,40.70,440.82,1377.00,5052.31,86.17
02/11/2011 19:00,None,0,2,44,2,11,2011,38,13.00,42.60,439.20,1367.00,4930.86,76.24
02/11/2011 19:30,None,0,2,44,2,11,2011,39,13.00,42.60,439.45,1338.00,4788.65,72.92
02/11/2011 20:00,None,0,2,44,2,11,2011,40,13.00,40.70,436.44,1328.00,4621.20,58.61
02/11/2011 20:30,None,0,2,44,2,11,2011,41,13.00,38.90,426.10,1340.00,4499.07,55.93
02/11/2011 21:00,None,0,2,44,2,11,2011,42,13.00,38.90,410.56,1356.00,4345.07,53.60
02/11/2011 21:30,None,0,2,44,2,11,2011,43,12.00,33.30,396.23,1342.00,4178.42,50.33
02/11/2011 22:00,None,0,2,44,2,11,2011,44,12.00,29.60,404.72,1351.00,3964.79,48.80
02/11/2011 22:30,None,0,2,44,2,11,2011,45,12.00,29.60,405.89,1315.00,3751.52,48.36
02/11/2011 23:00,None,0,2,44,2,11,2011,46,12.00,33.30,395.18,1310.00,3664.19,48.36
02/11/2011 23:30,None,0,2,44,2,11,2011,47,12.00,33.30,385.27,1270.00,3465.06,48.36
03/11/2011 00:00,None,0,3,44,3,11,2011,0,12.00,35.20,373.89,1252.00,3235.88,47.38
03/11/2011 00:30,None,0,3,44,3,11,2011,1,12.00,29.60,320.85,1258.00,3058.27,45.39
03/11/2011 01:00,None,0,3,44,3,11,2011,2,12.00,29.60,321.07,1213.00,2922.82,32.54
03/11/2011 01:30,None,0,3,44,3,11,2011,3,12.00,31.50,327.85,1125.00,2804.93,32.54
03/11/2011 02:00,None,0,3,44,3,11,2011,4,12.00,31.50,338.08,1019.00,2710.30,32.54
03/11/2011 02:30,None,0,3,44,3,11,2011,5,12.00,33.30,343.44,953.00,2607.19,32.54
03/11/2011 03:00,None,0,3,44,3,11,2011,6,12.00,29.60,358.24,840.00,2552.84,32.54
03/11/2011 03:30,None,0,3,44,3,11,2011,7,12.00,33.30,358.43,841.00,2534.70,32.54
03/11/2011 04:00,None,0,3,44,3,11,2011,8,12.00,25.90,363.80,804.00,2515.52,32.54
03/11/2011 04:30,None,0,3,44,3,11,2011,9,12.00,29.60,376.80,796.00,2482.96,32.54
03/11/2011 05:00,None,0,3,44,3,11,2011,10,12.00,25.90,362.45,782.00,2531.99,32.54
03/11/2011 05:30,None,0,3,44,3,11,2011,11,12.00,29.60,376.01,773.00,2586.35,32.54
03/11/2011 06:00,None,0,3,44,3,11,2011,12,12.00,24.10,384.50,822.00,2791.72,42.73
03/11/2011 06:30,None,0,3,44,3,11,2011,13,12.00,24.10,394.32,954.00,3042.61,42.73
03/11/2011 07:00,None,0,3,44,3,11,2011,14,12.00,29.60,439.47,904.00,3406.09,42.73
03/11/2011 07:30,None,0,3,44,3,11,2011,15,12.00,24.10,456.14,884.00,3610.50,43.26
03/11/2011 08:00,None,0,3,44,3,11,2011,16,12.00,29.60,465.72,884.00,3885.40,51.88
03/11/2011 08:30,None,0,3,44,3,11,2011,17,12.00,27.80,492.00,798.00,4083.36,45.37
03/11/2011 09:00,None,0,3,44,3,11,2011,18,12.00,24.10,505.10,796.00,4253.60,45.37
03/11/2011 09:30,None,0,3,44,3,11,2011,19,12.00,25.90,499.26,872.00,4355.21,45.37
03/11/2011 10:00,None,0,3,44,3,11,2011,20,12.00,24.10,497.63,864.00,4403.21,45.37
03/11/2011 10:30,None,0,3,44,3,11,2011,21,12.00,22.20,499.29,878.00,4472.67,45.37
03/11/2011 11:00,None,0,3,44,3,11,2011,22,13.00,24.10,492.14,863.00,4491.64,45.37
03/11/2011 11:30,None,0,3,44,3,11,2011,23,13.00,24.10,478.47,921.00,4522.46,45.37
03/11/2011 12:00,None,0,3,44,3,11,2011,24,13.00,24.10,491.80,805.00,4572.09,45.37
03/11/2011 12:30,None,0,3,44,3,11,2011,25,13.00,22.20,487.66,773.00,4601.22,48.28
03/11/2011 13:00,None,0,3,44,3,11,2011,26,13.00,24.10,496.27,727.00,4533.10,48.28
03/11/2011 13:30,None,0,3,44,3,11,2011,27,11.00,25.90,499.35,758.00,4474.42,45.37
03/11/2011 14:00,None,0,3,44,3,11,2011,28,13.00,24.10,511.13,705.00,4505.79,45.37
03/11/2011 14:30,None,0,3,44,3,11,2011,29,13.00,25.90,509.18,641.00,4476.38,45.37
03/11/2011 15:00,None,0,3,44,3,11,2011,30,13.00,22.20,522.25,589.00,4479.28,48.28
03/11/2011 15:30,None,0,3,44,3,11,2011,31,12.00,18.50,529.17,533.00,4502.84,48.28
03/11/2011 16:00,None,0,3,44,3,11,2011,32,12.00,24.10,523.81,521.00,4572.72,99.57
03/11/2011 16:30,None,0,3,44,3,11,2011,33,12.00,22.20,535.70,512.00,4800.27,99.57
03/11/2011 17:00,None,0,3,44,3,11,2011,34,12.00,18.50,523.46,473.00,5244.98,237.46
03/11/2011 17:30,None,0,3,44,3,11,2011,35,11.00,13.00,504.77,438.00,5432.84,445.64
03/11/2011 18:00,None,0,3,44,3,11,2011,36,11.00,14.80,504.39,389.00,5347.90,330.72
03/11/2011 18:30,None,0,3,44,3,11,2011,37,11.00,18.50,507.03,402.00,5200.73,128.25
03/11/2011 19:00,None,0,3,44,3,11,2011,38,10.00,20.40,515.14,490.00,5064.34,105.47
03/11/2011 19:30,None,0,3,44,3,11,2011,39,10.00,18.50,528.22,480.00,4929.32,133.03
03/11/2011 20:00,None,0,3,44,3,11,2011,40,9.00,9.30,532.74,413.00,4774.93,54.18
03/11/2011 20:30,None,0,3,44,3,11,2011,41,8.00,7.40,544.02,400.00,4649.20,48.28
03/11/2011 21:00,None,0,3,44,3,11,2011,42,7.00,7.40,552.24,378.00,4507.45,48.28
03/11/2011 21:30,None,0,3,44,3,11,2011,43,7.00,7.40,575.44,305.00,4311.06,48.28
03/11/2011 22:00,None,0,3,44,3,11,2011,44,8.00,5.60,582.27,301.00,4101.70,45.37
03/11/2011 22:30,None,0,3,44,3,11,2011,45,7.00,5.60,570.27,229.00,3951.16,48.28
03/11/2011 23:00,None,0,3,44,3,11,2011,46,8.00,3.70,599.91,217.00,3863.68,48.28
03/11/2011 23:30,None,0,3,44,3,11,2011,47,8.00,1.90,595.34,178.00,3663.66,45.37
04/11/2011 00:00,None,0,4,44,4,11,2011,0,8.00,5.60,622.35,158.00,3446.04,45.37
04/11/2011 00:30,None,0,4,44,4,11,2011,1,8.00,0.00,644.13,118.00,3255.45,44.93
04/11/2011 01:00,None,0,4,44,4,11,2011,2,8.00,3.70,634.41,97.00,3130.56,44.93
04/11/2011 01:30,None,0,4,44,4,11,2011,3,8.00,7.40,616.65,92.00,3023.76,43.26
04/11/2011 02:00,None,0,4,44,4,11,2011,4,8.00,11.10,619.60,86.00,2926.91,43.26
04/11/2011 02:30,None,0,4,44,4,11,2011,5,7.00,9.30,628.14,94.00,2864.25,43.26
04/11/2011 03:00,None,0,4,44,4,11,2011,6,7.00,13.00,623.81,92.00,2841.52,42.73
04/11/2011 03:30,None,0,4,44,4,11,2011,7,7.00,9.30,630.58,92.00,2832.75,42.73
04/11/2011 04:00,None,0,4,44,4,11,2011,8,7.00,9.30,625.55,120.00,2836.51,42.73
04/11/2011 04:30,None,0,4,44,4,11,2011,9,7.00,11.10,628.49,116.00,2835.48,42.73
04/11/2011 05:00,None,0,4,44,4,11,2011,10,7.00,11.10,625.42,124.00,2868.13,42.73
04/11/2011 05:30,None,0,4,44,4,11,2011,11,7.00,11.10,637.70,106.00,2920.47,42.73
04/11/2011 06:00,None,0,4,44,4,11,2011,12,8.00,7.40,648.38,122.00,3102.00,42.73
04/11/2011 06:30,None,0,4,44,4,11,2011,13,8.00,7.40,648.26,94.00,3338.37,43.12
04/11/2011 07:00,None,0,4,44,4,11,2011,14,7.00,9.30,653.02,95.00,3694.29,46.45
04/11/2011 07:30,None,0,4,44,4,11,2011,15,7.00,11.10,644.11,101.00,3899.94,46.45
04/11/2011 08:00,None,0,4,44,4,11,2011,16,7.00,7.40,627.30,104.00,4148.99,46.45
04/11/2011 08:30,None,0,4,44,4,11,2011,17,8.00,7.40,607.72,115.00,4387.53,46.45
04/11/2011 09:00,None,0,4,44,4,11,2011,18,8.00,7.40,586.12,112.00,4586.37,46.45
04/11/2011 09:30,None,0,4,44,4,11,2011,19,9.00,7.40,575.47,106.00,4662.54,46.45
04/11/2011 10:00,None,0,4,44,4,11,2011,20,9.00,9.30,587.71,94.00,4658.06,46.45
04/11/2011 10:30,None,0,4,44,4,11,2011,21,9.00,7.40,592.39,98.00,4702.36,46.45
04/11/2011 11:00,None,0,4,44,4,11,2011,22,10.00,7.40,588.84,99.00,4729.63,46.45
04/11/2011 11:30,None,0,4,44,4,11,2011,23,10.00,11.10,583.80,137.00,4714.11,46.45
04/11/2011 12:00,None,0,4,44,4,11,2011,24,11.00,9.30,581.24,168.00,4724.58,46.45
04/11/2011 12:30,None,0,4,44,4,11,2011,25,11.00,7.40,577.75,218.00,4725.75,46.45
04/11/2011 13:00,None,0,4,44,4,11,2011,26,12.00,13.00,577.88,268.00,4646.37,46.07
04/11/2011 13:30,None,0,4,44,4,11,2011,27,12.00,20.40,599.89,243.00,4561.55,46.07
04/11/2011 14:00,None,0,4,44,4,11,2011,28,10.00,13.00,604.47,266.00,4526.41,45.45
04/11/2011 14:30,None,0,4,44,4,11,2011,29,11.00,7.40,600.70,265.00,4488.41,45.45
04/11/2011 15:00,None,0,4,44,4,11,2011,30,12.00,9.30,599.96,224.00,4485.89,46.07
04/11/2011 15:30,None,0,4,44,4,11,2011,31,11.00,9.30,601.83,164.00,4502.47,46.07
04/11/2011 16:00,None,0,4,44,4,11,2011,32,10.00,5.60,592.93,170.00,4573.75,46.07
04/11/2011 16:30,None,0,4,44,4,11,2011,33,11.00,3.70,588.94,140.00,4812.29,53.18
04/11/2011 17:00,None,0,4,44,4,11,2011,34,10.00,9.30,577.45,154.00,5307.69,100.82
04/11/2011 17:30,None,0,4,44,4,11,2011,35,9.00,11.10,550.20,128.00,5552.78,382.34
04/11/2011 18:00,None,0,4,44,4,11,2011,36,9.00,9.30,543.74,118.00,5510.98,157.14
04/11/2011 18:30,None,0,4,44,4,11,2011,37,8.00,9.30,533.04,125.00,5375.06,112.10
04/11/2011 19:00,None,0,4,44,4,11,2011,38,8.00,9.30,537.01,104.00,5235.56,70.22
04/11/2011 19:30,None,0,4,44,4,11,2011,39,8.00,9.30,535.71,106.00,5067.77,74.03
04/11/2011 20:00,None,0,4,44,4,11,2011,40,7.00,11.10,542.87,111.00,4898.15,70.40
04/11/2011 20:30,None,0,4,44,4,11,2011,41,7.00,11.10,542.99,99.00,4737.88,65.32
04/11/2011 21:00,None,0,4,44,4,11,2011,42,7.00,9.30,546.73,116.00,4580.50,51.04
04/11/2011 21:30,None,0,4,44,4,11,2011,43,7.00,11.10,563.02,112.00,4375.52,51.04
04/11/2011 22:00,None,0,4,44,4,11,2011,44,7.00,11.10,570.76,102.00,4187.62,51.04
04/11/2011 22:30,None,0,4,44,4,11,2011,45,7.00,13.00,592.03,103.00,4049.42,51.04
04/11/2011 23:00,None,0,4,44,4,11,2011,46,6.00,11.10,606.17,93.00,4006.44,51.04
04/11/2011 23:30,None,0,4,44,4,11,2011,47,6.00,11.10,605.06,97.00,3853.50,51.04
05/11/2011 00:00,None,0,5,44,5,11,2011,0,6.00,13.00,610.49,88.00,3647.63,51.04
05/11/2011 00:30,None,0,5,44,5,11,2011,1,6.00,11.10,625.51,86.00,3447.32,50.04
05/11/2011 01:00,None,0,5,44,5,11,2011,2,5.00,14.80,642.73,106.00,3305.10,48.83
05/11/2011 01:30,None,0,5,44,5,11,2011,3,5.00,13.00,650.98,97.00,3175.33,48.83
05/11/2011 02:00,None,0,5,44,5,11,2011,4,5.00,13.00,642.61,90.00,3077.74,48.41
05/11/2011 02:30,None,0,5,44,5,11,2011,5,5.00,9.30,627.31,85.00,2998.74,48.41
05/11/2011 03:00,None,0,5,44,5,11,2011,6,5.00,7.40,612.36,69.00,2964.30,48.41
05/11/2011 03:30,None,0,5,44,5,11,2011,7,5.00,13.00,606.30,68.00,2945.04,48.41
05/11/2011 04:00,None,0,5,44,5,11,2011,8,5.00,11.10,612.04,41.00,2926.45,48.41
05/11/2011 04:30,None,0,5,44,5,11,2011,9,5.00,13.00,611.18,42.00,2890.57,48.41
05/11/2011 05:00,None,0,5,44,5,11,2011,10,5.00,11.10,609.54,44.00,2899.48,48.41
05/11/2011 05:30,None,0,5,44,5,11,2011,11,5.00,13.00,612.05,36.00,2909.99,47.71
05/11/2011 06:00,None,0,5,44,5,11,2011,12,5.00,16.70,613.96,39.00,2993.84,44.90
05/11/2011 06:30,None,0,5,44,5,11,2011,13,5.00,14.80,625.24,61.00,3083.21,44.89
05/11/2011 07:00,None,0,5,44,5,11,2011,14,4.00,14.80,644.40,80.00,3241.52,44.90
05/11/2011 07:30,None,0,5,44,5,11,2011,15,4.00,11.10,649.35,72.00,3310.76,44.90
05/11/2011 08:00,None,0,5,44,5,11,2011,16,4.00,14.80,644.73,80.00,3485.27,47.32
05/11/2011 08:30,None,0,5,44,5,11,2011,17,5.00,14.80,645.85,89.00,3728.28,48.27
05/11/2011 09:00,None,0,5,44,5,11,2011,18,5.00,14.80,597.66,107.00,4009.35,64.40
05/11/2011 09:30,None,0,5,44,5,11,2011,19,5.00,16.70,572.99,99.00,4167.67,66.58
05/11/2011 10:00,None,0,5,44,5,11,2011,20,6.00,14.80,570.92,80.00,4285.62,71.68
05/11/2011 10:30,None,0,5,44,5,11,2011,21,7.00,13.00,555.95,61.00,4351.57,58.62
05/11/2011 11:00,None,0,5,44,5,11,2011,22,8.00,14.80,563.01,52.00,4372.94,52.95
05/11/2011 11:30,None,0,5,44,5,11,2011,23,9.00,16.70,568.01,45.00,4373.98,52.95
05/11/2011 12:00,None,0,5,44,5,11,2011,24,9.00,18.50,569.45,59.00,4389.94,58.62
05/11/2011 12:30,None,0,5,44,5,11,2011,25,10.00,20.40,571.08,64.00,4357.96,52.95
05/11/2011 13:00,None,0,5,44,5,11,2011,26,10.00,20.40,572.68,93.00,4270.35,52.95
05/11/2011 13:30,None,0,5,44,5,11,2011,27,10.00,18.50,570.35,97.00,4175.12,52.95
05/11/2011 14:00,None,0,5,44,5,11,2011,28,10.00,16.70,576.64,98.00,4123.07,52.95
05/11/2011 14:30,None,0,5,44,5,11,2011,29,10.00,16.70,586.66,89.00,4077.18,52.74
05/11/2011 15:00,None,0,5,44,5,11,2011,30,10.00,16.70,590.87,107.00,4087.78,52.74
05/11/2011 15:30,None,0,5,44,5,11,2011,31,10.00,18.50,607.86,61.00,4098.20,52.95
05/11/2011 16:00,None,0,5,44,5,11,2011,32,9.00,16.70,601.17,68.00,4197.03,52.95
05/11/2011 16:30,None,0,5,44,5,11,2011,33,9.00,13.00,593.46,70.00,4460.11,100.55
05/11/2011 17:00,None,0,5,44,5,11,2011,34,8.00,11.10,565.80,75.00,5045.54,182.21
05/11/2011 17:30,None,0,5,44,5,11,2011,35,8.00,7.40,540.67,77.00,5341.84,350.03
05/11/2011 18:00,None,0,5,44,5,11,2011,36,8.00,13.00,553.10,67.00,5290.97,325.30
05/11/2011 18:30,None,0,5,44,5,11,2011,37,7.00,7.40,555.52,69.00,5136.30,142.01
05/11/2011 19:00,None,0,5,44,5,11,2011,38,7.00,9.30,551.98,84.00,4963.12,93.73
05/11/2011 19:30,None,0,5,44,5,11,2011,39,7.00,11.10,553.24,82.00,4802.36,97.17
05/11/2011 20:00,None,0,5,44,5,11,2011,40,7.00,11.10,549.72,77.00,4586.91,59.13
05/11/2011 20:30,None,0,5,44,5,11,2011,41,6.00,13.00,554.97,69.00,4414.30,56.25
05/11/2011 21:00,None,0,5,44,5,11,2011,42,6.00,9.30,546.96,65.00,4247.04,56.43
05/11/2011 21:30,None,0,5,44,5,11,2011,43,6.00,5.60,554.81,72.00,4136.74,48.26
05/11/2011 22:00,None,0,5,44,5,11,2011,44,5.00,7.40,558.52,85.00,3961.10,48.26
05/11/2011 22:30,None,0,5,44,5,11,2011,45,5.00,3.70,570.74,86.00,3854.39,48.26
05/11/2011 23:00,None,0,5,44,5,11,2011,46,5.00,7.40,577.06,85.00,3831.37,48.26
05/11/2011 23:30,None,0,5,44,5,11,2011,47,5.00,9.30,568.63,91.00,3688.83,48.05
06/11/2011 00:00,None,0,6,44,6,11,2011,0,5.00,9.30,582.31,96.00,3513.71,48.05
06/11/2011 00:30,None,0,6,44,6,11,2011,1,5.00,11.10,604.28,86.00,3348.82,44.89
06/11/2011 01:00,None,0,6,44,6,11,2011,2,5.00,11.10,592.15,80.00,3227.60,44.89
06/11/2011 01:30,None,0,6,44,6,11,2011,3,5.00,7.40,565.20,79.00,3111.29,44.89
06/11/2011 02:00,None,0,6,44,6,11,2011,4,4.00,9.30,550.03,83.00,2995.87,44.88
06/11/2011 02:30,None,0,6,44,6,11,2011,5,4.00,7.40,546.44,74.00,2910.73,44.43
06/11/2011 03:00,None,0,6,44,6,11,2011,6,5.00,7.40,554.02,78.00,2848.31,44.43
06/11/2011 03:30,None,0,6,44,6,11,2011,7,4.00,3.70,559.47,75.00,2812.84,44.43
06/11/2011 04:00,None,0,6,44,6,11,2011,8,5.00,3.70,563.45,84.00,2768.57,44.43
06/11/2011 04:30,None,0,6,44,6,11,2011,9,4.00,1.90,561.62,88.00,2723.23,44.43
06/11/2011 05:00,None,0,6,44,6,11,2011,10,4.00,7.40,568.15,94.00,2696.48,44.43
06/11/2011 05:30,None,0,6,44,6,11,2011,11,3.00,7.40,570.97,91.00,2702.08,44.43
06/11/2011 06:00,None,0,6,44,6,11,2011,12,3.00,7.40,572.34,87.00,2746.05,43.71
06/11/2011 06:30,None,0,6,44,6,11,2011,13,4.00,0.00,570.71,98.00,2791.92,44.19
06/11/2011 07:00,None,0,6,44,6,11,2011,14,5.00,0.00,568.44,109.00,2855.36,54.03
06/11/2011 07:30,None,0,6,44,6,11,2011,15,4.00,0.00,560.79,125.00,2877.05,54.03
06/11/2011 08:00,None,0,6,44,6,11,2011,16,5.00,3.70,558.98,142.00,2984.30,54.03
06/11/2011 08:30,None,0,6,44,6,11,2011,17,6.00,0.00,540.25,148.00,3188.68,54.03
06/11/2011 09:00,None,0,6,44,6,11,2011,18,7.00,0.00,543.44,139.00,3438.53,54.80
